,id,Brand,Type,CPUbrand,SSD,GPUbrand,RAM,OS,Touchscreen,Weight,Price,PPI
45,22,HP,Ultraportable,Intel,512 GB,Intel,8,Windows,No,Medium,40990,141.21199808219862
46,23,ASUS,Ultraportable,Intel,256 GB,Intel,8,Windows,No,Medium,39990,141.21199808219862
47,24,HP,Notebook,Intel,512 GB,Intel,8,Windows,No,Medium,37499,100.45466986113651
48,1,HP,Notebook,Intel,512 GB,Intel,8,Windows,No,Medium,37499,100.45466986113651
49,2,ASUS,Notebook,Intel,512 GB,Intel,8,Windows,No,Medium,43990,92.71417565478829
50,3,HP,Gaming,Intel,512 GB,NVIDIA,8,Windows,No,Heavy,66990,141.21199808219862
52,5,ASUS,Ultraportable,Intel,256 GB,Intel,8,Windows,No,Medium,42890,141.21199808219862
54,7,HP,Ultraportable,Intel,512 GB,Intel,8,Windows,No,Medium,57990,141.21199808219862
55,8,HP,Ultraportable,AMD,512 GB,AMD,8,Windows,No,Medium,38990,141.21199808219862
56,9,ASUS,Gaming,Intel,1 TB,NVIDIA,16,Windows,No,Heavy,109990,127.33567457123111
57,10,ASUS,Ultraportable,Intel,512 GB,Intel,8,Windows,No,Medium,35990,141.21199808219862
58,11,HP,Notebook,Intel,256 GB,Intel,8,Windows,Yes,Light,48990,111.93520355955211
59,12,ASUS,Notebook,Intel,256 GB,Intel,8,Windows,Yes,Light,46990,157.3505121487356
60,13,HP,Ultraportable,AMD,512 GB,AMD,16,Windows,No,Light,54990,157.3505121487356
61,14,HP,Gaming,Intel,512 GB,NVIDIA,8,Windows,No,Heavy,67990,136.82653230324834
62,15,ASUS,Ultraportable,Intel,512 GB,Intel,8,Windows,Yes,Light,49990,157.3505121487356
63,16,ASUS,Gaming,AMD,1 TB,NVIDIA,16,Windows,No,Heavy,161990,188.28266410959816
64,17,DELL,Ultraportable,Intel,512 GB,Intel,8,Windows,No,Medium,47890,141.21199808219862
65,18,LENOVO,Gaming,AMD,512 GB,NVIDIA,8,Windows,No,Heavy,64990,141.21199808219862
66,19,HP,Notebook,AMD,None,None,8,Windows,No,Medium,29490,111.93520355955211
67,20,ACER,Ultraportable,Intel,512 GB,Intel,8,Windows,No,Medium,34990,141.21199808219862
68,21,ASUS,Ultraportable,AMD,512 GB,AMD,16,Windows,Yes,Light,99990,255.35588026619376
69,22,LENOVO,Gaming,Intel,512 GB,Intel,16,Windows,No,Medium,62490,141.21199808219862
70,23,ACER,Notebook,AMD,256 GB,AMD,4,Windows,No,Heavy,24290,111.93520355955211
71,24,HP,Ultraportable,AMD,512 GB,AMD,8,Windows,No,Medium,34490,141.21199808219862
72,1,APPLE,Ultraportable,Others,512 GB,None,16,Mac,No,Medium,183990,253.93034266273992
73,2,INFINIX,Ultraportable,Intel,256 GB,Intel,8,Windows,No,Light,29990,157.3505121487356
74,3,ASUS,Ultraportable,AMD,512 GB,AMD,16,Windows,No,Medium,66990,141.21199808219862
77,6,ASUS,Ultraportable,Intel,256 GB,Intel,8,Windows,No,Medium,51990,141.21199808219862
78,7,ASUS,Ultraportable,Intel,256 GB,Intel,8,Windows,No,Light,29990,111.93520355955211
79,8,ASUS,Ultraportable,AMD,256 GB,AMD,8,Windows,No,Medium,59990,141.21199808219862
80,9,ASUS,Gaming,Intel,1 TB,NVIDIA,16,Windows,No,Heavy,118990,141.21199808219862
81,10,MSI,Ultraportable,AMD,512 GB,AMD,8,Windows,No,Light,45990,157.3505121487356
82,11,MSI,Gaming,Intel,512 GB,NVIDIA,16,Windows,No,Heavy,89990,141.21199808219862
83,12,LENOVO,Ultraportable,Intel,512 GB,Intel,8,Windows,No,Medium,57490,141.21199808219862
84,13,HP,Gaming,AMD,512 GB,NVIDIA,16,Windows,No,Heavy,75990,141.21199808219862
85,14,DELL,Ultraportable,AMD,256 GB,AMD,8,Windows,No,Light,37254,157.3505121487356
86,15,LENOVO,Ultraportable,Intel,512 GB,Intel,8,Windows,No,Medium,37600,141.21199808219862
87,16,HP,Notebook,AMD,256 GB,AMD,8,Windows,No,Medium,39999,141.21199808219862
88,17,HP,Ultraportable,Intel,256 GB,Intel,8,Windows,No,Light,40999,157.3505121487356
89,18,DELL,Notebook,Intel,256 GB,Intel,8,Windows,No,Light,38200,157.3505121487356
